,date,exchange,name,numberOfShares,price,status,symbol,totalSharesValue
0,2025-02-12,NASDAQ Capital,Aureus Greenway Holdings Inc,3750000,4.00-6.00,expected,AGH,22500000.0
0,2025-02-11,NASDAQ Global,Archimedes Tech SPAC Partners II Co.,20000000,10.00,expected,ATIIU,200000000.0
0,2025-02-10,,Texas Ventures Acquisition III Corp,,,filed,TVACU,230000000.0
0,2025-02-10,,"KESTRA MEDICAL TECHNOLOGIES, LTD.",,,filed,KMTS,100000000.0
0,2025-02-07,NASDAQ Global,"Sionna Therapeutics, Inc.",10588233,18.00,priced,SION,190588194.0
0,2025-02-07,NYSE,Titan America SA,24000000,16.00,priced,TTAM,384000000.0
0,2025-02-07,,Newsmax Inc.,,,filed,NMAX,75000000.0
0,2025-02-07,,Digital Asset Acquisition Corp.,,,filed,DAAQU,172500000.0
0,2025-02-07,,Real Asset Acquisition Corp.,,,filed,RAAQU,172500000.0
0,2025-02-07,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,,,filed,AHMA,11500000.0
0,2025-02-07,NASDAQ Capital,"Wellgistics Health, Inc.",900000,4.50-5.50,expected,WGRX,4950000.0
0,2025-02-06,NASDAQ Capital,FBS Global Ltd,2250000,4.50,priced,FBGL,10125000.0
0,2025-02-06,NASDAQ Global,EPWK Holdings Ltd.,2750000,4.10,priced,EPWK,11275000.0
0,2025-02-06,,Nomadar Corp.,,,filed,NOMA,1050849.91
0,2025-02-06,NASDAQ Capital,RedCloud Holdings plc,11000000,4.00-6.00,expected,RCT,75900000.0
0,2025-02-05,NASDAQ Global,K&F GROWTH ACQUISITION CORP. II,25000000,10.00,priced,KFIIU,250000000.0
0,2025-02-05,NASDAQ Capital,CALLAN JMB INC.,1280000,4.00,priced,CJMB,5120000.0
0,2025-02-05,NASDAQ Capital,"Huachen AI Parking Management Technology Holding Co., Ltd",1500000,4.00,priced,HCAI,6000000.0
0,2025-02-05,NASDAQ Capital,Plutus Financial Group Ltd,2100000,4.00,priced,PLUT,8400000.0
0,2025-02-04,,BRK International Holding Group Ltd,,,filed,BRKHM,1000000.0
0,2025-02-03,,Rithm Acquisition Corp.,,,filed,RAC'U,230000000.0
0,2025-01-31,NASDAQ Global Select,"Metsera, Inc.",15277778,18.00,priced,MTSR,275000004.0
0,2025-01-31,NASDAQ Global,"Maze Therapeutics, Inc.",8750000,16.00,priced,MAZE,140000000.0
0,2025-01-31,NYSE,"INFINITY NATURAL RESOURCES, INC.",13250000,20.00,priced,INR,265000000.0
0,2025-01-31,,Fifth Era Acquisition Corp I,,,filed,FERAU,230000000.0
0,2025-01-31,,TV Channels Network Inc.,,,filed,TVCN,8625000.0
0,2025-01-30,NASDAQ Global,"Beta Bionics, Inc.",12000000,17.00,priced,BBNX,204000000.0
0,2025-01-30,NASDAQ Global,Stellar V Capital Corp. (Cayman Islands),15000000,10.00,priced,SVCCU,150000000.0
0,2025-01-30,NASDAQ Capital,"CLOUDASTRUCTURE, INC.",1701338,,priced,CSAI,3315167.0
0,2025-01-29,NASDAQ Global,FG Merger II Corp.,8000000,10.00,priced,FGMCU,80000000.0
0,2025-01-29,,Cartesian Growth Corp III,,,filed,,230000000.0
0,2025-01-28,NASDAQ Global Select,SMITHFIELD FOODS INC,26086958,20.00,priced,SFD,521739160.0
0,2025-01-28,NASDAQ Global,Drugs Made In America Acquisition Corp.,20000000,10.00,priced,DMAAU,200000000.0
0,2025-01-28,,"Bialgo Commercial Operation Management CO., Ltd",,,filed,BGO,8000000.0
0,2025-01-28,,"QMSK Technology Co., Ltd",,,filed,QMSK,10350000.0
0,2025-01-28,,Gesher Acquisition Corp. II,,,filed,GSHRU,143750000.0
0,2025-01-28,,VISTEK LTD,,,filed,VTEK,11250000.0
0,2025-01-24,NASDAQ Global,ASCENTAGE PHARMA GROUP INTERNATIONAL,7325000,17.25,priced,AAPG,126356250.0
0,2025-01-24,NYSE,"Venture Global, Inc.",70000000,25.00,priced,VG,1750000000.0
0,2025-01-24,,Soulpower Acquisition Corp.,,,filed,SOULU,230000000.0
0,2025-01-24,,"Aurion Biotech, Inc.",,,filed,AURN,100000000.0
0,2025-01-24,,Softto Inc,,,filed,SFTO,20700000.0
0,2025-01-24,NYSE MKT,"Cortigent, Inc.",1500000,10.00,expected,CRGT,17250000.0
0,2025-01-23,,HTL Capital Ltd.,,,withdrawn,,
0,2025-01-23,NASDAQ Global,Columbus Acquisition Corp/Cayman Islands,6000000,10.00,priced,COLAU,60000000.0
0,2025-01-23,NASDAQ Capital,Skyline Builders Group Holding Ltd,1500000,4.00,priced,SKBL,6000000.0
0,2025-01-23,,One Power Co,,,filed,ONE,100000000.0
0,2025-01-22,NASDAQ Capital,Decent Holding Inc.,1250000,4.00,priced,DXST,5000000.0
0,2025-01-22,NASDAQ Capital,Diginex Ltd,2250000,4.10,priced,DGNX,9225000.0
0,2025-01-22,NYSE MKT,Toppoint Holdings Inc.,2500000,4.00,priced,TOPP,10000000.0
0,2025-01-22,NASDAQ Capital,CTRL GROUP Ltd,2000000,4.00,priced,MCTR,8000000.0
0,2025-01-22,,"Center Mobile Co., Ltd.",,,filed,CTMB,17250000.0
0,2025-01-22,NASDAQ Capital,Maverick Lifestyle Inc.,1222222,4.50-5.00,expected,MVRK,7027775.0
0,2025-01-21,,One & one Green Technologies. INC,,,filed,YDDL,13800000.0
0,2025-01-21,,Silver Pegasus Acquisition Corp.,,,filed,SPEGU,172500000.0
0,2025-01-17,NASDAQ Global,Hennessy Capital Investment Corp. VII,17500000,10.00,priced,HVIIU,175000000.0
0,2025-01-17,,Iron Horse Acquisition Corp. II,,,filed,,287500000.0
0,2025-01-17,,"Odyssey Therapeutics, Inc.",,,filed,ODTX,100000000.0
0,2025-01-16,NYSE,Flowco Holdings Inc.,17800000,24.00,priced,FLOC,427200000.0
0,2025-01-16,NASDAQ Capital,PicoCELA Inc.,1750000,4.00,priced,PCLA,7000000.0
0,2025-01-16,,Agroz Inc.,,,filed,AGRZ,11500000.0
0,2025-01-16,NYSE MKT,LOGPROSTYLE INC.,2500000,4.00-6.00,expected,LGPS,17250000.0
0,2025-01-15,NASDAQ Capital,Hong Kong Pharma Digital Technology Holdings Ltd,1403685,4.00,priced,HKPD,5614740.0
0,2025-01-15,NASDAQ Capital,Ribbon Acquisition Corp.,5000000,10.00,priced,RIBBU,50000000.0
0,2025-01-15,NASDAQ Global,"Plum Acquisition Corp, IV",15000000,10.00,priced,PLMKU,150000000.0
0,2025-01-15,,Antharas Inc,,,filed,AAS,7187500.0
0,2025-01-14,,RanMarine Technology B.V.,,,withdrawn,,
0,2025-01-14,NASDAQ Capital,Uni-Fuels Holdings Ltd,2100000,4.00,priced,UFG,8400000.0
0,2025-01-13,,"Marwynn Holdings, Inc.",,,filed,MWYN,11500000.0
0,2025-01-13,,Phoenix Asia Holdings Ltd,,,filed,PHOE,11040000.0
0,2025-01-10,NASDAQ Capital,Mint Inc Ltd,1750000,4.00,priced,MIMI,7000000.0
0,2025-01-10,,"Aspargo Labs, Inc.",,,filed,AAGO,153978683.91
0,2025-01-10,,Origin Investment Corp I,,,filed,,69000000.0
0,2025-01-10,,CH4 Natural Solutions Acquisition Corp,,,filed,MTNEU,287500000.0
0,2025-01-10,,Live Oak Acquisition Corp. V,,,filed,LOKVU,230000000.0
0,2025-01-08,NASDAQ Capital,3 E Network Technology Group Ltd,1250000,4.00,priced,MASK,5000000.0
