date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,CC,USD,0001627223,2025-02-18,2025-02-18 06:14:44,2024,FY,713000000.0,0,713000000.0,770000000.0,1472000000.0,71000000.0,3026000000.0,3441000000.0,46000000,3000000.0,49000000.0,152000000.0,291000000.0,556000000.0,4489000000.0,0.0,7515000000.0,1142000000.0,54000000,44000000,0.0,563000000.0,1803000000.0,4248000000,0,35000000,824000000,5107000000.0,0.0,194000000,6910000000.0,0.0,2000000.0,1718000000.0,-367000000.0,-749000000.0,604000000.0,605000000.0,7515000000.0,1000000.0,7515000000.0,152000000.0,4355000000,3642000000.0,https://www.sec.gov/Archives/edgar/data/1627223/000095017025021787/0000950170-25-021787-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000095017025021787/cc-20241231.htm
2023-12-31,CC,USD,0001627223,2024-03-27,2024-03-27 16:08:25,2023,FY,1203000000.0,0,1203000000.0,610000000.0,1352000000.0,670000000.0,3835000000.0,3476000000.0,102000000,3000000.0,105000000.0,158000000.0,303000000.0,374000000.0,4416000000.0,0.0,8251000000.0,1134000000.0,106000000,28000000,0.0,1218000000.0,2486000000.0,4193000000,0,44000000,789000000,5026000000.0,0.0,307000000,7512000000.0,0.0,2000000.0,1782000000.0,-274000000.0,-773000000.0,737000000.0,739000000.0,8251000000.0,2000000.0,8251000000.0,158000000.0,4299000000,3096000000.0,https://www.sec.gov/Archives/edgar/data/1627223/000095017024037171/0000950170-24-037171-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000095017024037171/cc-20231231.htm
2022-12-31,CC,USD,0001627223,2023-02-10,2023-02-10 16:06:58,2022,FY,1102000000.0,0,1102000000.0,626000000.0,1404000000.0,82000000.0,3214000000.0,3411000000.0,102000000,13000000.0,115000000.0,175000000.0,152000000.0,573000000.0,4426000000.0,0.0,7640000000.0,1233000000.0,141000000,42000000,61000000.0,475000000.0,1891000000.0,3788000000,0,61000000,793000000,4642000000.0,0.0,247000000,6533000000.0,0.0,2000000.0,2170000000.0,-343000000.0,-722000000.0,1107000000.0,1107000000.0,7640000000.0,0.0,7640000000.0,175000000.0,3813000000,2711000000.0,https://www.sec.gov/Archives/edgar/data/1627223/000095017023002467/0000950170-23-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000095017023002467/cc-20221231.htm
2021-12-31,CC,USD,0001627223,2022-02-11,2022-02-11 16:20:04,2021,FY,1451000000.0,0,1451000000.0,720000000.0,1099000000.0,150000000.0,3345000000.0,3381000000.0,102000000,6000000.0,108000000.0,169000000.0,171000000.0,376000000.0,4205000000.0,0.0,7550000000.0,1162000000.0,84000000,64000000,3000000.0,545000000.0,1858000000.0,3903000000,2000000,49000000,656000000,4610000000.0,0.0,238000000,6468000000.0,0.0,2000000.0,1746000000.0,-364000000.0,-303000000.0,1081000000.0,1082000000.0,7550000000.0,1000000.0,7550000000.0,169000000.0,3928000000,2477000000.0,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/0001564590-22-004791-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/cc-10k_20211231.htm
2020-12-31,CC,USD,0001627223,2021-02-12,2021-02-12 16:33:01,2020,FY,1105000000.0,0,1105000000.0,511000000.0,939000000.0,156000000.0,2633000000.0,3710000000.0,153000000,14000000.0,167000000.0,167000000.0,95000000.0,310000000.0,4449000000.0,0.0,7082000000.0,820000000.0,78000000,88000000,7000000.0,449000000.0,1442000000.0,4199000000,5000000,36000000,585000000,4825000000.0,0.0,251000000,6267000000.0,0.0,2000000.0,1303000000.0,-310000000.0,-182000000.0,813000000.0,815000000.0,7082000000.0,2000000.0,7082000000.0,167000000.0,4277000000,3172000000.0,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/0001564590-21-005805-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/cc-10k_20201231.htm
2024-12-31,EFX,USD,0000033185,2025-02-20,2025-02-20 16:25:43,2024,FY,169900000.0,0,169900000.0,957600000.0,0.0,233100000.0,1360600000.0,3332100000.0,6547800000,94700000.0,6642500000.0,0.0,0.0,424200000.0,10398800000.0,0.0,11759400000.0,138200000.0,687700000,0,115500000.0,870100000.0,1811500000.0,4322800000,0,351600000,353900000,5028300000.0,0.0,0,6839800000.0,0.0,236600000.0,6018600000.0,-722700000.0,-735600000.0,4796900000.0,4902100000.0,11759400000.0,105200000.0,11759400000.0,0.0,5010500000,4840600000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318525000025/0000033185-25-000025-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318525000025/efx-20241231.htm
2023-12-31,EFX,USD,0000033185,2024-02-22,2024-02-22 16:20:17,2023,FY,216800000.0,0,216800000.0,908200000.0,0.0,231300000.0,1356300000.0,1834000000.0,6829900000,1953600000.0,8783500000.0,0.0,0.0,306200000.0,10923700000.0,0.0,12280000000.0,197600000.0,963400000,0,109500000.0,748500000.0,2019000000.0,4747800000,0,474900000,350800000,5573500000.0,0.0,0,7592500000.0,0.0,236600000.0,5608600000.0,-431200000.0,-879900000.0,4534100000.0,4687500000.0,12280000000.0,153400000.0,12280000000.0,1383900000.0,5711200000,5494400000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318524000017/0000033185-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318524000017/efx-20231231.htm
2022-12-31,EFX,USD,0000033185,2023-02-23,2023-02-23 16:36:35,2022,FY,285200000.0,0,285200000.0,857700000.0,134300000.0,227600000.0,1370500000.0,1587000000.0,6383900000,1913300000.0,8297200000.0,74500000.0,460300000.0,-241600000.0,10177400000.0,0.0,11547900000.0,250800000.0,967200000,0,132900000.0,664300000.0,2015200000.0,4820100000,460300000,460300000,279000000,5559400000.0,0.0,0,7574600000.0,0.0,236600000.0,5256000000.0,-473700000.0,-1062400000.0,3956500000.0,3973300000.0,11547900000.0,16800000.0,11547900000.0,74500000.0,5787300000,5502100000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318523000012/0000033185-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318523000012/efx-20221231.htm
2021-12-31,EFX,USD,0000033185,2022-02-24,2022-02-24 16:55:14,2021,FY,224700000.0,0,224700000.0,727600000.0,108400000.0,168600000.0,1120900000.0,1315900000.0,6258100000,1992900000.0,8251000000.0,-358200000.0,358200000.0,353100000.0,9920000000.0,0.0,11040900000.0,211600000.0,824800000,0,121300000.0,1133600000.0,2291300000.0,4470100000,130100000,358200000,320100000,5148400000.0,0.0,0,7439700000.0,0.0,236600000.0,4751600000.0,-295400000.0,-1108400000.0,3584400000.0,3601200000.0,11040900000.0,16800000.0,11040900000.0,-358200000.0,5294900000,5070200000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/0000033185-22-000014-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/efx-20211231.htm
2020-12-31,EFX,USD,0000033185,2021-02-25,2021-02-25 16:41:22,2020,FY,1684600000.0,0,1684600000.0,630600000.0,104100000.0,163100000.0,2478300000.0,1139400000.0,4495800000,1092700000.0,5588500000.0,-332300000.0,332300000.0,405600000.0,7133500000.0,0.0,9611800000.0,159100000.0,1101100000,0,108300000.0,1114600000.0,2483100000.0,3277300000,130700000,332300000,308800000,3918400000.0,0.0,0,6401500000.0,0.0,236600000.0,4185400000.0,-171400000.0,-1082200000.0,3168400000.0,3210300000.0,9611800000.0,41900000.0,9611800000.0,-332300000.0,4378400000,2693800000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318521000025/0000033185-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318521000025/efx-20201231.htm
