date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,CC,USD,0001627223,2025-02-18,2025-02-18 06:14:44,2024,FY,5782000000.0,4631000000.0,1151000000.0,0.1990660671,109000000.0,0.0,0.0,585000000.0,0,694000000.0,5325000000.0,0.0,264000000.0,301000000.0,692000000.0,0.119681771,457000000.0,0.079038395,-330000000.0,127000000.0,0.0219647181,41000000.0,86000000.0,0.0148737461,0.58,0.57,149494462.0,150013636.0,https://www.sec.gov/Archives/edgar/data/1627223/000095017025021787/0000950170-25-021787-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000095017025021787/cc-20241231.htm
2023-12-31,CC,USD,0001627223,2024-03-27,2024-03-27 16:08:25,2023,FY,6027000000.0,4721000000.0,1306000000.0,0.217,108000000.0,0.0,0.0,1290000000.0,0,1398000000.0,6114000000.0,0.0,208000000.0,307000000.0,197000000.0,0.0326862452,-92000000.0,-0.0152646424,-226000000.0,-318000000.0,-0.0527625684,-81000000.0,-238000000.0,-0.0394889663,-1.6,-1.6,148912397.0,148912397.0,https://www.sec.gov/Archives/edgar/data/1627223/000095017024037171/0000950170-24-037171-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000095017024037171/cc-20231231.htm
2022-12-31,CC,USD,0001627223,2023-02-10,2023-02-10 16:06:58,2022,FY,6794000000.0,5178000000.0,1616000000.0,0.2378569326,118000000.0,0.0,0.0,710000000.0,70000000,828000000.0,6006000000.0,163000000.0,163000000.0,291000000.0,1204000000.0,0.1772151899,913000000.0,0.1343832794,-45000000.0,741000000.0,0.1090668237,163000000.0,578000000.0,0.0850750662,3.72,3.65,155359361.0,158303007.0,https://www.sec.gov/Archives/edgar/data/1627223/000095017023002467/0000950170-23-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000095017023002467/cc-20221231.htm
2021-12-31,CC,USD,0001627223,2022-02-11,2022-02-11 16:20:04,2021,FY,6345000000.0,4964000000.0,1381000000.0,0.218,107000000.0,0.0,0.0,592000000.0,163000000,699000000.0,5663000000.0,185000000.0,185000000.0,317000000.0,1205000000.0,0.1899133176,888000000.0,0.1399527187,-6000000.0,676000000.0,0.1065405831,68000000.0,608000000.0,0.0958234831,3.69,3.6,164943575.0,168698439.0,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/0001564590-22-004791-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/cc-10k_20211231.htm
2020-12-31,CC,USD,0001627223,2021-02-12,2021-02-12 16:33:01,2020,FY,4969000000.0,3902000000.0,1067000000.0,0.2147313343,93000000.0,0.0,0.0,527000000.0,39000000,620000000.0,4522000000.0,210000000.0,210000000.0,320000000.0,767000000.0,0.1668343731,509000000.0,0.1024350976,-268000000.0,179000000.0,0.0360233447,-40000000.0,219000000.0,0.0440732542,1.33,1.32,164681827.0,166346529.0,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/0001564590-21-005805-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/cc-10k_20201231.htm
2024-12-31,EFX,USD,0000033185,2025-02-20,2025-02-20 16:25:43,2024,FY,5681100000.0,2518700000.0,3162400000.0,1.0,0.0,0.0,0.0,1450500000.0,669800000,2120300000.0,4639000000.0,0.0,229100000.0,680600000.0,1720200000.0,0.3027934731,1042100000.0,0.1834327859,-231600000.0,810500000.0,0.142666033,203200000.0,604100000.0,0.1063350407,4.88,4.84,123800000.0,124900000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318525000025/0000033185-25-000025-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318525000025/efx-20241231.htm
2023-12-31,EFX,USD,0000033185,2024-02-22,2024-02-22 16:20:17,2023,FY,5265200000.0,2335100000.0,2930100000.0,0.557,0.0,1285800000.0,67000000.0,1385700000.0,610800000,1996500000.0,4331600000.0,0.0,241400000.0,619800000.0,1579100000.0,0.2999126339,933600000.0,0.1773152017,-215700000.0,717900000.0,0.1363480969,166200000.0,545300000.0,0.1035668161,4.44,4.4,122900000.0,123900000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318524000017/0000033185-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318524000017/efx-20231231.htm
2022-12-31,EFX,USD,0000033185,2023-02-23,2023-02-23 16:36:35,2022,FY,5122200000.0,2177200000.0,2945000000.0,0.5749482644,0.0,1258800000.0,70100000.0,1328900000.0,560100000,1889000000.0,4066200000.0,183000000.0,183000000.0,560100000.0,1672800000.0,0.3282378665,1056000000.0,0.206161415,-126300000.0,929700000.0,0.1815040412,229500000.0,696200000.0,0.1359181602,5.69,5.65,122400000.0,123300000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318523000012/0000033185-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318523000012/efx-20221231.htm
2021-12-31,EFX,USD,0000033185,2022-02-24,2022-02-24 16:55:14,2021,FY,4923900000.0,1980900000.0,2943000000.0,0.598,0.0,1254400000.0,70200000.0,1324600000.0,480400000,1805000000.0,3785900000.0,145600000.0,145600000.0,480400000.0,1575200000.0,0.3217774528,1138000000.0,0.23111761,-188800000.0,949200000.0,0.1927740206,200700000.0,744200000.0,0.1511403562,6.11,6.02,121900000.0,123600000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/0000033185-22-000014-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/efx-20211231.htm
2020-12-31,EFX,USD,0000033185,2021-02-25,2021-02-25 16:41:22,2020,FY,4127500000.0,1737400000.0,2390100000.0,0.579067232,0.0,1263500000.0,59000000.0,1322500000.0,391000000,1713500000.0,3450900000.0,141600000.0,141600000.0,391000000.0,1217800000.0,0.2970563295,676600000.0,0.163924894,8600000.0,685200000.0,0.1660084797,159000000.0,520100000.0,0.1260084797,4.28,4.24,121500000.0,122800000.0,https://www.sec.gov/Archives/edgar/data/33185/000003318521000025/0000033185-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318521000025/efx-20201231.htm
2024-01-31,PPIH,USD,0000914122,2024-05-30,2024-05-30 14:17:36,2023,FY,150668000.0,109210000.0,41458000.0,0.2751612818,500000.0,22591000.0,5508000.0,28099000.0,0,28099000.0,137309000.0,163000.0,2429000.0,3830000.0,15987000.0,0.1061074681,13359000.0,0.0886651446,-3468000.0,9891000.0,0.0656476491,-3320000.0,10471000.0,0.0694971726,1.31,1.3,7977000.0,8073000.0,https://www.sec.gov/Archives/edgar/data/914122/000143774924018710/0001437749-24-018710-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000143774924018710/ppih20240131_10ka.htm
2023-01-31,PPIH,USD,0000914122,2023-04-27,2023-04-27 16:17:01,2022,FY,142569000.0,104268000.0,38301000.0,0.2686488648,700000.0,21994000.0,5163000.0,27157000.0,533000,27157000.0,131425000.0,124000.0,2119000.0,3933000.0,14790000.0,0.0819042008,8031000.0,0.0563306189,-1586000.0,9558000.0,0.0670412221,3613000.0,5945000.0,0.0416991071,0.75,0.73,7976000.0,8116000.0,https://www.sec.gov/Archives/edgar/data/914122/000143774923011368/0001437749-23-011368-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000143774923011368/ppih20230131_10k.htm
2022-01-31,PPIH,USD,0000914122,2022-04-19,2022-04-19 16:17:16,2021,FY,138552000.0,106022000.0,32530000.0,0.235,400000.0,19893000.0,4526000.0,24419000.0,1044000,24419000.0,130441000.0,90000.0,828000.0,4569000.0,12435000.0,0.0660762746,4831000.0,0.0348677753,216000.0,8327000.0,0.060100179,2265000.0,6062000.0,0.0437525261,0.75,0.72,8132999.0,8418000.0,https://www.sec.gov/Archives/edgar/data/914122/000143774922009216/0001437749-22-009216-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000143774922009216/ppih20220131_10k.htm
2021-01-31,PPIH,USD,0000914122,2021-04-15,2021-04-15 16:26:12,2020,FY,84694000.0,73515000.0,11179000.0,0.1319928212,300000.0,17222000.0,5334000.0,22556000.0,3983000,22556000.0,96071000.0,268000.0,381000.0,4953000.0,-2173000.0,-0.0873025244,-11377000.0,-0.1343306492,3602000.0,-7775000.0,-0.0918010721,-133000.0,-7642000.0,-0.0902307129,-0.94,-0.94,8125999.0,8125999.0,https://www.sec.gov/Archives/edgar/data/914122/000143774921009033/0001437749-21-009033-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000143774921009033/ppih20210131_10k.htm
2020-01-31,PPIH,USD,0000914122,2020-04-21,2020-04-21 09:11:55,2019,FY,127663000.0,98617000.0,29046000.0,0.2275208949,300000.0,17875000.0,5231000.0,23106000.0,1059000,23106000.0,121723000.0,201000.0,905000.0,4437000.0,5940000.0,0.0465287515,1503000.0,0.0117731841,-905000.0,5035000.0,0.039439775,1459000.0,3576000.0,0.0280112484,0.45,0.43,7989000.0,8284000.0,https://www.sec.gov/Archives/edgar/data/914122/000143774920008088/0001437749-20-008088-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000143774920008088/ppih20191226_10k.htm
2024-07-31,MHN,USD,0001038186,2024-07-31,2024-07-30 20:00:00,2024,FY,25867139.0,0.0,25867139.0,1.0,0.0,3545839.0,24421.0,3570260.0,0,3570260.0,3570260.0,25388763.0,10802848.0,-22296879.0,0.0,0.0,22296879.0,0.8619770049,-8947363.0,13349516.0,0.5160801123,0.0,13349516.0,0.5160801123,0.44,0.44,30241637.0,30241637.0,,
2023-07-31,MHN,USD,0001038186,2023-07-31,2023-07-30 20:00:00,2023,FY,-2137067.0,3334615.0,-5471682.0,2.56,0.8817641187665151,334186.0,24360.0,334186.0,12769226,-12769226.0,-9434611.0,25130839.0,9132762.0,-21880223.0,0.0,-3.4147455368,7297540.0,-3.4147455368,-23764612.0,-1884389.0,0.8817641188,21880223.0,-1884389.0,0.8817641188,-0.0617,-0.0617,30535000.0,30535000.0,,
2022-07-31,MHN,USD,0001038186,2022-07-31,2022-07-30 20:00:00,2022,FY,19172403.0,3853163.0,15319240.0,0.7990255577,-3.619444930149262,4001390.0,24317.0,-3.619444930149262,31132023,91063516.0,15319240.0,3015968.0,3316928.0,-20660380.0,-66076532.0,4.4464398125,20660380.0,1.0776103548,-90053777.0,-69393397.0,-3.6194418091,-66076530.0,-66076530.0,-3.446439656,0.95,35278446.0,-69393460.0,-1.873,,
2021-08-31,MHN,USD,0001038186,2021-08-31,2021-08-31 00:00:00,2021,FY,29340240.0,4291874.0,25048366.0,0.854,1.0967883583799478,442269.0,24338.0,442269.0,-253320,188949.0,188949.0,26712668.0,2637139.0,-22256002.0,0.0,0.9935600731,29151291.0,0.9935600731,6895289.0,29151291.0,0.9935600731,19569713.0,29151291.0,0.9935600731,0.94,0.94,31132023.0,31132023.0,,
2020-08-31,MHN,USD,0001038186,2020-08-31,2020-08-31 00:00:00,2020,FY,5369070.0,0.0,5369070.0,1.0,0.0,397452.0,24427.0,397452.0,-262100,135352.0,135352.0,28362932.0,5327821.0,-24020826.0,-13459287.0,0.9747904199,5233718.0,0.9747904199,-18787108.0,5233718.0,0.9747904199,5233718.0,5233718.0,0.9747904199,0.17,0.17,30786576.0,30786576.0,,
2024-12-31,IMCR,USD,0001671927,2025-02-26,2025-02-26 07:00:54,2024,FY,310202000.0,2731000.0,307471000.0,0.9911960593,222151000.0,0.0,0.0,155781000.0,0,377932000.0,380663000.0,25618000.0,18844000.0,0.0,-70461000.0,-0.2271455374,-70461000.0,-0.2271455374,17524000.0,-52937000.0,-0.1706533162,-1850000.0,-51087000.0,-0.1646894604,-1.02,-1.02,49991064.0,49991064.0,https://www.sec.gov/Archives/edgar/data/1671927/000167192725000006/0001671927-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1671927/000167192725000006/imcr-20241231.htm
2023-12-31,IMCR,USD,0001671927,2024-02-28,2024-02-28 07:33:51,2023,FY,249428000.0,1037000.0,248391000.0,0.996,163545000.0,0.0,0.0,144495000.0,0,308040000.0,309077000.0,17986000.0,5154000.0,4090000.0,-51646000.0,-0.2070577481,-59649000.0,-0.2391431595,-1241000.0,-60890000.0,-0.2441185432,-5603000.0,-55287000.0,-0.221655147,-1.13,-1.13,48888975.0,48888975.0,https://www.sec.gov/Archives/edgar/data/1671927/000114036124009921/0001140361-24-009921-index.htm,https://www.sec.gov/Archives/edgar/data/1671927/000114036124009921/ef20015345_10k.htm
