,country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Energy,1997-04-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959066436.png,102.16407809983896,Gulf Island Fabrication Inc,17137146123,16.35,GIFI,https://www.gulfisland.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",N/A,1984-08-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959012256.png,98.74,Korea Fund Inc,12127393000,4.83,KF,https://www.thekoreafund.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,2004-07-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ENS.png,3991.3456246855726,EnerSys,16102081600,39.43,ENS,https://www.enersys.com
0,US,USD,USD,OTC MARKETS,N/A,2021-02-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950796962906.png,87.68368684429645,Goal Acquisitions Corp,15122871871,7.46,PUCK,https://www.goalacquisitions.com/
0,CA,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,2007-06-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942976532156.png,280.1441360204918,POET Technologies Inc,14013381212,78.03,POET,https://www.poet-technologies.com/
0,NL,USD,USD,NYSE EURONEXT - EURONEXT PARIS,Semiconductors,2000-07-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/STM.PA.png,21558.533746,STMicroelectronics NV,31206543210,911.28,STMPA.PA,https://www.st.com/
0,JE,USD,USD,NYSE MKT LLC,Metals & Mining,1984-10-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950506994136.png,204.63499861395354,Caledonia Mining Corporation PLC,441534679800,19.21,CMCL,https://www.caledoniamining.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,2017-04-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950548154066.png,8076.5009597479475,Kinetik Holdings Inc,17136217330,157.77,KNTK,https://www.kinetik.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1949-11-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DTE.png,27289.675966731425,DTE Energy Co,13132354000,207.24,DTE,https://ir.dteenergy.com/
0,SG,USD,USD,NASDAQ NMS - GLOBAL MARKET,Road & Rail,2020-10-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GRAB.png,18162.62962381957,Grab Holdings Ltd,6596841256,4027.0,GRAB,https://www.grab.com/sg/
