,buy,hold,period,sell,strongBuy,strongSell,symbol
0,4,1,2025-02-01,0,2,0,GIFI
0,4,1,2025-01-01,0,2,0,GIFI
0,4,1,2024-12-01,0,2,0,GIFI
0,4,1,2024-11-01,0,2,0,GIFI
0,6,3,2025-02-01,0,2,0,ENS
0,5,5,2025-01-01,0,1,0,ENS
0,5,5,2024-12-01,0,1,0,ENS
0,5,5,2024-11-01,0,1,0,ENS
0,5,1,2025-02-01,0,2,0,POET
0,5,1,2025-01-01,0,2,0,POET
0,5,1,2024-12-01,0,2,0,POET
0,4,1,2024-11-01,0,2,0,POET
0,10,8,2025-02-01,3,7,0,STMPA.PA
0,10,9,2025-01-01,2,7,0,STMPA.PA
0,12,7,2024-12-01,2,7,0,STMPA.PA
0,13,6,2024-11-01,1,7,0,STMPA.PA
0,5,1,2025-02-01,0,2,0,CMCL
0,5,1,2025-01-01,0,2,0,CMCL
0,4,1,2024-12-01,0,2,0,CMCL
0,4,1,2024-11-01,0,2,0,CMCL
0,8,8,2025-02-01,0,3,0,KNTK
0,8,8,2025-01-01,0,3,0,KNTK
0,8,8,2024-12-01,0,3,0,KNTK
0,8,8,2024-11-01,0,3,0,KNTK
0,10,8,2025-02-01,0,6,0,DTE
0,9,10,2025-01-01,0,5,0,DTE
0,9,10,2024-12-01,0,5,0,DTE
0,9,10,2024-11-01,0,5,0,DTE
0,17,5,2025-02-01,0,9,0,GRAB
0,17,4,2025-01-01,1,9,0,GRAB
0,19,3,2024-12-01,1,9,0,GRAB
0,21,2,2024-11-01,0,8,0,GRAB
0,5,8,2025-02-01,0,5,0,PNFP
0,5,8,2025-01-01,0,5,0,PNFP
0,5,8,2024-12-01,0,5,0,PNFP
0,7,7,2024-11-01,0,5,0,PNFP
0,7,3,2025-02-01,0,2,0,ATRA
0,8,3,2025-01-01,0,2,0,ATRA
0,7,3,2024-12-01,1,2,0,ATRA
0,7,3,2024-11-01,1,2,0,ATRA
0,3,1,2025-02-01,0,3,0,VIRC
0,3,1,2025-01-01,0,3,0,VIRC
0,3,1,2024-12-01,0,3,0,VIRC
0,3,1,2024-11-01,0,3,0,VIRC
0,6,3,2025-02-01,0,2,0,INVZ
0,6,3,2025-01-01,0,2,0,INVZ
0,4,4,2024-12-01,0,2,0,INVZ
0,6,3,2024-11-01,0,2,0,INVZ
0,3,6,2025-02-01,0,3,0,SMBK
0,3,6,2025-01-01,0,3,0,SMBK
0,3,5,2024-12-01,0,4,0,SMBK
0,3,5,2024-11-01,0,4,0,SMBK
0,4,1,2025-02-01,0,3,0,CNDT
0,5,1,2025-01-01,0,3,0,CNDT
0,5,1,2024-12-01,0,3,0,CNDT
0,5,1,2024-11-01,0,3,0,CNDT
0,8,6,2025-02-01,1,2,0,FNV.TO
0,9,7,2025-01-01,0,5,0,FNV.TO
0,9,7,2024-12-01,0,5,0,FNV.TO
0,8,8,2024-11-01,1,4,0,FNV.TO
0,5,6,2025-02-01,0,3,0,DNB
0,5,6,2025-01-01,0,3,0,DNB
0,5,6,2024-12-01,0,3,0,DNB
0,5,6,2024-11-01,0,3,0,DNB
0,4,1,2025-02-01,0,1,0,FGI
0,4,1,2025-01-01,0,1,0,FGI
0,4,1,2024-12-01,0,1,0,FGI
0,4,1,2024-11-01,0,1,0,FGI
0,11,8,2025-02-01,0,3,0,PPL.TO
0,11,7,2025-01-01,0,3,0,PPL.TO
0,11,6,2024-12-01,0,3,0,PPL.TO
0,11,6,2024-11-01,0,3,0,PPL.TO
0,1,7,2025-02-01,5,0,1,AXL
0,4,7,2025-01-01,1,1,0,AXL
0,4,7,2024-12-01,1,1,0,AXL
0,4,7,2024-11-01,1,1,0,AXL
0,4,4,2025-02-01,0,1,0,PLL
0,5,4,2025-01-01,0,1,0,PLL
0,5,6,2024-12-01,0,1,0,PLL
0,6,4,2024-11-01,2,1,0,PLL
0,4,3,2025-02-01,0,2,0,ECC
0,4,3,2025-01-01,0,2,0,ECC
0,3,3,2024-12-01,0,2,0,ECC
0,3,3,2024-11-01,0,2,0,ECC
0,4,1,2025-02-01,0,5,0,SUPV2.BA
0,4,1,2025-01-01,0,5,0,SUPV2.BA
0,4,2,2024-12-01,0,4,0,SUPV2.BA
0,4,2,2024-11-01,0,4,0,SUPV2.BA
0,0,4,2025-02-01,1,0,2,FLIC
0,0,4,2025-01-01,1,0,2,FLIC
0,0,4,2024-12-01,1,0,2,FLIC
0,0,4,2024-11-01,1,0,2,FLIC
0,14,7,2025-02-01,0,6,0,SHLS
0,14,7,2025-01-01,0,6,0,SHLS
0,13,8,2024-12-01,0,6,0,SHLS
0,13,8,2024-11-01,0,5,0,SHLS
0,9,6,2025-02-01,0,4,0,ANDINA-B.SN
0,11,5,2025-01-01,0,4,0,ANDINA-B.SN
0,11,5,2024-12-01,0,4,0,ANDINA-B.SN
0,10,5,2024-11-01,0,4,0,ANDINA-B.SN
0,0,4,2025-02-01,2,0,2,MAXN
0,0,5,2025-01-01,2,0,2,MAXN
0,0,5,2024-12-01,2,0,2,MAXN
0,0,6,2024-11-01,1,0,2,MAXN
0,5,2,2025-02-01,0,2,0,IOSP
0,5,2,2025-01-01,0,2,0,IOSP
0,5,2,2024-12-01,0,2,0,IOSP
0,5,2,2024-11-01,0,2,0,IOSP
0,4,6,2025-02-01,0,2,0,ZWS
0,4,6,2025-01-01,0,2,0,ZWS
0,4,6,2024-12-01,0,2,0,ZWS
0,4,6,2024-11-01,0,2,0,ZWS
0,10,4,2025-02-01,1,6,0,GLEN.L
0,10,4,2025-01-01,1,6,0,GLEN.L
0,10,5,2024-12-01,0,6,0,GLEN.L
0,10,5,2024-11-01,0,6,0,GLEN.L
0,4,4,2025-02-01,0,2,0,GECC
0,4,4,2025-01-01,0,2,0,GECC
0,0,5,2024-12-01,1,0,2,GECC
0,0,5,2024-11-01,1,0,2,GECC
0,6,4,2025-02-01,0,7,0,STVN
0,6,4,2025-01-01,0,7,0,STVN
0,6,4,2024-12-01,0,6,0,STVN
0,6,4,2024-11-01,0,6,0,STVN
0,4,1,2025-02-01,0,2,0,THAR
0,0,3,2024-07-01,1,0,2,THAR
0,0,3,2024-06-01,1,0,2,THAR
0,0,3,2024-05-01,1,0,2,THAR
0,4,1,2025-02-01,0,2,0,NLOP
0,4,1,2025-01-01,0,2,0,NLOP
0,4,1,2024-12-01,0,2,0,NLOP
0,4,1,2024-11-01,0,2,0,NLOP
0,14,1,2025-02-01,2,4,1,GIB.A.TO
0,15,2,2025-01-01,2,4,1,GIB.A.TO
0,15,2,2024-12-01,2,4,1,GIB.A.TO
0,15,3,2024-11-01,1,4,0,GIB.A.TO
0,0,3,2022-11-01,1,0,2,GSIT
0,0,3,2022-10-01,1,0,2,GSIT
0,0,3,2022-09-01,1,0,2,GSIT
0,0,3,2022-08-01,1,0,2,GSIT
0,4,1,2025-02-01,0,2,0,ARMP
0,4,1,2025-01-01,0,2,0,ARMP
0,4,1,2024-12-01,0,2,0,ARMP
0,4,1,2024-11-01,0,2,0,ARMP
