"date_q","ticker","price","assetTurnover","bookValue","cashRatio","currentRatio","ebitPerShare","eps","fcfPerShare","grossMargin","longtermDebtTotalAsset","longtermDebtTotalCapital","longtermDebtTotalEquity","netDebtToTotalCapital","netDebtToTotalEquity","netMargin","operatingMargin","pb","pretaxMargin","ps","quickRatio","roa","roe","roic","rotc","salesPerShare","sgaToSale","totalDebtToEquity","totalDebtToTotalAsset","totalDebtToTotalCapital","totalRatio","finnhubIndustry","roa_sector_ratio","roe_sector_ratio","roic_sector_ratio","rotc_sector_ratio","ev_sector_ratio","ebitPerShare_sector_ratio","roa__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roa__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean"""
2021-09-30,"AAL",16.9972579863764,0.3606,4971,0.0154715387052487,1.0136,0.8252,0.2344,-11.4103,0.6039,0.5183,1.1383,3.1965,1.2293,3.249,0.0188,0.0663,5.1403,0.023,0.5427,0.8866,-0.0477,0.6752,0.1077,0.1598,12.4397,0.3961,3.486,0.564,1.2387,0.902,"Airlines",0.310553397038748,-4.06205148038331,-3.93322029476979,-8.63783783783784,0.952806450795128,-1.12851721426374,-0.0088099999999999,1.66724490032587e-06,0.0213692207792207,0.4791230893637,0.0025776623376623,0.541138672907711,0.0036866233766233,0.44016692382315,-66.828025974026,0.78206296251194,-0.279598181818182,0.0056347689228636
2021-09-30,"AAPL",165.58482754615,1.0665,63090,0.278448530056343,1.0746,1.4299,1.2354,5.6586,0.422,0.3108,0.5783,1.7294,0.4804,1.4365,0.2465,0.2853,38.0883,0.2789,6.5688,1.0221,0.276,1.4412,0.5092,0.5859,5.0111,0.578,1.9903,0.3577,0.6656,1.2191,"Technology",-0.141220255913483,-2.12696114636326,-0.899773244080839,-1.10706902300767,43.3497144419898,-2.38279181602894,0.0051768831168831,2.48067177797915e-06,0.0455735064935065,1.33341731646282e-07,0.0123477922077922,3.41841741259055e-07,0.0123583116883116,7.81340272180945e-06,86347.8506493507,5.96288720033711e-08,0.0390158441558441,0.0042840793485543
2021-09-30,"AAT",31.3000992805727,0.1188,1245.1,1.37081339712919,1.5,0.3635,0.1339,1.1702,0.6633,0.5404,0.5698,1.3243,0.5104,1.1862,0.1038,0.2818,1.8174,0.1312,6.3671,1.4298,0.0079,0.0189,0.0083,0.0303,1.29,0.3367,1.3243,0.5404,0.5698,1.6894,"Real Estate",-1.71739130434783,0.578787445485093,1.490219365656,4.05092857514436,0.409739509708347,0.656937814988182,-0.0006512987012987,3.3737885598816e-05,-0.0018914285714285,3.49743383115299e-07,-0.0006984415584415,2.7197165483638e-05,-0.0009668831168831,1.03097768476486e-05,22.7037922077922,0.140450484206917,-0.0041884415584415,0.0862727700038284
2021-09-30,"AATC",4.40569675353266,0.6031,20.62,11.8055555555556,18.125,0.1325,0.1138,0.432,0.8226,0,0,0,-0.4122,-0.4122,0.1865,0.2171,1.9183,0.2171,3.0616,15.2639,0.1335,0.141,0.1394,0.1375,0.6101,0.1804,0,0,0,29.6389,"Electrical Equipment",-0.459544293210805,-0.682317116351533,-1.12622417813393,-1.11964012631328,0.0077723644938569,0.521074782663048,0.0037431168831168,0.426164578365511,0.001964935064935,0.710144933753586,0.0018090909090909,0.732733360724684,-0.0042925974025974,0.115509881687048,0.296682077922078,0.123149208552402,0.0040297402597402,0.230471090142868
2021-09-30,"ACA",51.0770622991746,0.6745,1940.9,0.16974833076528,2.0824,0.7716,0.4877,0.4969,0.1789,0.2253,0.2758,0.3832,0.2558,0.3554,0.0424,0.0671,1.2511,0.0538,1.2304,1.1977,0.0242,0.037,0.0296,0.0453,11.5041,0.8211,0.3894,0.2289,0.2803,2.4268,"Construction",0.710928319623972,0.356755453778474,0.557071610049873,0.522581761550441,0.34742983404397,1.04573762980077,-0.0017664335664335,0.0144552000033875,-0.00131993006993,0.135255533374248,-0.001827972027972,0.0342009593432684,-0.0013692307692307,0.226987788770526,182.926223776224,3.28757516191106e-06,-0.0117447552447552,0.5106305006618
2021-09-30,"ACAD",24.198387053705,0.6368,567,1.07256235827664,7.2664,-0.0952,-0.0902,-0.8286,0.9491,0.0088,0.0095,0.0097,-0.1668,-0.1668,-0.1102,-0.1163,4.706,-0.1125,5.6245,6.8254,-0.2572,-0.3275,-0.3275,-0.3299,0.8189,0.0509,0,0,0,4.7624,"Biotechnology",0.0823358595555174,0.478114955161045,0.52533518819513,0.508598127525969,1.11861154586036,0.0014984626483163,0.0184215584415584,0.000140289261875,0.0175774025974025,0.001735379755254,0.0175774025974025,0.001735379755254,0.0172123376623376,0.0019671950653757,113.081675324675,0.0672252400601836,0.0177893506493506,0.0001121700155698
2021-09-30,"ACAN",0.523403225887206,0.1348,5.51,1.37254901960784,2,0.0107,0.0017,-0.0153,0.9459,0.3051,0.4468,0.8529,0.4069,0.7731,0.0541,0.3514,3.5131,0.0541,9.5355,1.9804,-0.0571,-0.1606,-0.0828,0.0048,0.0306,0.0541,0.9002,0.3293,0.4737,1.577,"Pharmaceuticals",0.127347204864846,0.530901315390297,0.313389931201012,-0.0189322169715941,0.0007304135929172,-0.020168806417157,0.0271362337662337,5.47559014800954e-05,0.0941280519480519,1.82351594204893e-05,0.0266036363636363,0.0001003406240792,0.0238580519480519,1.28507646868007e-07,-2.03315376623377,0.0089530902669673,0.0019457142857142,0.107499206936349
2021-09-30,"ACEL",12.9211289805751,1.0496,164.1,2.74656488549618,3.026,0.1964,0.114,0.4851,0.3289,0.5159,0.6293,1.8873,0.301,0.9025,0.0558,0.0962,6.9572,0.076,1.8507,2.9389,0.0276,0.1126,0.0333,0.0844,2.0422,0.6706,1.9988,0.5464,0.6665,1.3762,"Hotels, Restaurants & Leisure",-0.145016108291968,-0.5896468341368,-0.168250131267399,-0.464702516544852,0.004990574462508,-0.0582331330935598,0.0018416666666666,0.816223235246412,0.0051369047619047,0.866518225701813,0.0022261904761904,0.808201157366867,0.008522619047619,0.363742685316724,43.078619047619,0.0606890078997535,0.0500059523809523,0.0780648935901324
2021-09-30,"ACU",31.3060711276147,1.2985,76.548,0.277481434996339,4.845,0.7297,0.5042,0.4716,0.3548,0.3052,0.3598,0.5639,0.3178,0.4981,0.0427,0.0618,1.5135,0.0556,0.6539,2.1647,0.098,0.1921,0.117,0.1411,11.8095,0.6452,0.5674,0.3071,0.362,2.1798,"Commercial Services & Supplies",0.0056876889971656,-0.197253038374495,-0.279304269774504,-0.464759319890118,0.0315470127297397,-0.877902267589834,0.001494935064935,0.0179708704030751,0.0025335064935064,0.0359325517628542,0.0019661038961038,0.0114793822498982,0.001651948051948,0.01477506131081,2.03440506493506,0.0269772758423998,0.0307333766233766,0.0282535694946862
2021-09-30,"AEO",19.5840679599393,1.3169,1275.5,0.647685907436297,2.0822,0.8042,0.5816,1.2065,0.4207,0.0949,0.2064,0.2601,-0.1036,-0.1305,0.1017,0.1407,4.5654,0.1343,1.279,1.2733,0.0806,0.2419,0.1884,0.271,5.7166,0.5793,0.2601,0.0949,0.2064,1.5747,"Retail",1.9719721052544,0.919539623918913,0.935702788532649,1.66661429552586,0.110646681187007,-0.229533054780205,-0.0080623376623376,0.0003343905167252,-0.0120188311688311,0.0181970709574079,-0.0116922077922077,0.0077033480340017,-0.0177766233766233,0.0028718101828207,65.1787792207792,0.128950805255739,-0.0183514285714285,0.417572022690862
