,ticker,date_m,sentiment_avg_m,sentiment_num_m,sentiment_sd_m,date_q,sentiment_avg_q,sentiment_num_q,sentiment_sd_q
0,AAL,2024-10-31,1.1176470588235294,34,0.40933840799980475,2024-12-31 23:59:59.999999999,1.1630434782608696,184,0.6739034633244823
1,AAL,2024-11-30,1.2307692307692308,52,0.6452050780644717,2024-12-31 23:59:59.999999999,1.1630434782608696,184,0.6739034633244823
2,AAL,2024-12-31,1.1428571428571428,98,0.75981549578096,2024-12-31 23:59:59.999999999,1.1630434782608696,184,0.6739034633244823
3,AAL,2025-01-31,1.2075471698113207,53,0.7167901357397151,2025-03-31 23:59:59.999999999,1.2363636363636363,55,0.7191465199607916
4,AAL,2025-02-28,2.0,2,0.0,2025-03-31 23:59:59.999999999,1.2363636363636363,55,0.7191465199607916
5,AAM,2024-06-30,1.0,4,0.0,2024-06-30 23:59:59.999999999,1.0,4,0.0
6,AAM,2024-07-31,1.0,2,0.0,2024-09-30 23:59:59.999999999,1.0,14,0.0
7,AAM,2024-08-31,1.0,9,0.0,2024-09-30 23:59:59.999999999,1.0,14,0.0
8,AAM,2024-09-30,1.0,3,0.0,2024-09-30 23:59:59.999999999,1.0,14,0.0
9,AAM,2024-10-31,1.0,7,0.0,2024-12-31 23:59:59.999999999,1.0,8,0.0
10,AAM,2024-11-30,1.0,1,,2024-12-31 23:59:59.999999999,1.0,8,0.0
11,AAME,2024-03-31,1.0,1,,2024-03-31 23:59:59.999999999,1.0,1,
12,AAME,2024-04-30,0.875,8,0.3535533905932738,2024-06-30 23:59:59.999999999,0.8461538461538461,13,0.3755338080994054
13,AAME,2024-05-31,0.8,5,0.4472135954999579,2024-06-30 23:59:59.999999999,0.8461538461538461,13,0.3755338080994054
14,AAME,2024-08-31,0.4,5,0.5477225575051662,2024-09-30 23:59:59.999999999,0.4,5,0.5477225575051662
15,AAME,2024-11-30,0.3333333333333333,3,0.5773502691896258,2024-12-31 23:59:59.999999999,0.3333333333333333,3,0.5773502691896258
16,AAMI,2025-01-31,1.0,1,,2025-03-31 23:59:59.999999999,1.0,3,0.0
17,AAMI,2025-02-28,1.0,2,0.0,2025-03-31 23:59:59.999999999,1.0,3,0.0
