,ticker,marketCap,rolling_mk,reference_date_y
109869,ACM,7355990600.0,7337912439.18,2019-12-31
109617,ACM,10910991000.0,10207160454.38,2020-12-31
109366,ACM,11778686910.0,11159837778.6,2021-12-31
109116,ACM,12560959710.0,11642676501.6,2022-12-31
108864,ACM,14340264540.0,14882575780.2,2023-12-31
108809,ACM,12696150000.0,13518367352.2,2024-12-31
118476,AHH-PA,666714840.0,612738445.14,2019-12-31
118224,AHH-PA,1021688160.0,922698295.5,2020-12-31
117973,AHH-PA,1015922006.0,1036523137.02,2021-12-31
117723,AHH-PA,1092844423.0,987288197.04,2022-12-31
117471,AHH-PA,911011299.0,966313158.44,2023-12-31
117416,AHH-PA,703518012.0,814371078.28,2024-12-31
201994,AHT-PH,215089140.0,89809773.28,2019-12-31
201742,AHT-PH,328606310.0,406382182.12,2020-12-31
201491,AHT-PH,153651780.0,214844374.66,2021-12-31
201241,AHT-PH,67546920.0,75687368.4,2022-12-31
200989,AHT-PH,36640240.0,40548872.0,2023-12-31
200934,AHT-PH,40989900.0,42348434.74,2024-12-31
195687,AIP,667491993.0,648252346.173913,2020-12-31
195436,AIP,144463427.0,159554816.08,2021-12-31
195186,AIP,216849756.0,202579642.84,2022-12-31
194934,AIP,400423621.0,334344511.06,2023-12-31
194879,AIP,323265451.0,378771021.26,2024-12-31
231198,AIQUF,86692704540.0,83774337665.82,2019-12-31
230946,AIQUF,90915171505.0,88875973987.58,2020-12-31
230695,AIQUF,74139801461.0,72336252378.0,2021-12-31
230445,AIQUF,101751336362.0,95633015605.86,2022-12-31
230194,AIQUF,93824288865.0,98358214914.14,2023-12-31
230139,AIQUF,110436900746.0,104379766854.78,2024-12-31
121869,AJG,24073966000.0,22316166238.0,2019-12-31
121617,AJG,35461030000.0,34334349308.3,2020-12-31
121366,AJG,39859429940.0,40106357988.0,2021-12-31
121116,AJG,48647390880.0,51509729981.6,2022-12-31
120864,AJG,62248305000.0,63948126958.76,2023-12-31
120809,AJG,74456235000.0,69731021759.94,2024-12-31
145557,ALC,32277416000.0,30939062639.82,2019-12-31
145305,ALC,42697512000.0,40831015160.0,2020-12-31
145054,ALC,33712890000.0,31993163759.86,2021-12-31
144804,ALC,38528784000.0,36261839519.98,2022-12-31
144552,ALC,41986594000.0,43699424140.0,2023-12-31
144497,ALC,45657840000.0,44422854120.0,2024-12-31
35283,ALE,3227074000.0,2996166800.0,2019-12-31
