date_q,ticker,price,assetTurnover,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShare,grossMargin,inventoryTurnover,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatio,pb,pe,pfcf,pretaxMargin,ps,ptbv,quickRatio,receivablesTurnover,roa,roe,roic,rotc,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio,finnhubIndustry,roa_sector_ratio,roe_sector_ratio,roic_sector_ratio,rotc_sector_ratio,ev_sector_ratio,ebitPerShare_sector_ratio,sentiment_avg_q,sentiment_sd_q,sentiment_num_q
2021-12-31,AAL,16.99725798637636,0.433,2021.0,0.0143638850889192,0.9121,-1.2018,-1.4361,49416.4,0.0185,-3.9382,0.5945,7.523,0.5267,1.1396,8.099,1.23,8.4369,-0.0989,-0.0827,0.043,19.0335,10.4814,33.316,-0.1263,0.3892,17.6194,0.7853,20.9919,-0.0289,0.947,0.1377,0.2031,14.5254,0.4055,1756.0,8.9287,0.5726,1.2389,0.9006,Airlines,0.1881549931744198,-5.697219715525761,-5.028824833702882,-10.97837837837838,0.9126590843817692,1.6435433690040686,,,
2021-12-31,AAME,2.5474472430444535,0.5008,141.3,0.9725490196078432,0.0457,0.1835,0.131,58.8275,0.2201,0.048,,,0.0838,0.1926,0.2385,0.0509,0.063,0.0537,0.0752,2.3143,0.3533,25.7283,2.0279,0.0682,0.2502,0.3597,0.0349,,0.0107,0.0307,0.0248,0.0387,2.4401,,138.8,0.2385,0.0838,0.1926,1.5414,Insurance,-0.1538688834607202,0.2919560398347141,0.2955180544949524,0.5443792843840394,0.0055950903598777,0.0720428107996836,,,
2021-12-31,AAMI,23.64231727969262,0.3645,,1.0899265023778644,1.8335,0.8692,0.5341,,0.361,-0.5859,,,0.5525,1.0455,20.9583,0.3781,16.684,0.2406,0.3917,0.0033,,,,0.3591,,,1.8335,,0.5765,1.4898,0.1738,0.1793,2.2193,,,21.0139,0.5525,1.0455,0.9765,Financial Services,-12.721157126663217,10.299734867208915,-4.475574897638607,-3.052186072178496,,0.0159989561371749,,,
2021-12-31,AAPL,165.58482754615045,1.0815,71932.0,0.251528046945939,1.0378,2.5115,2.0963,3032429.0,0.3563,6.233,0.4376,39.7404,0.2797,0.5476,1.4824,0.44,1.1911,0.2794,0.3347,0.1451,40.9658,29.3049,28.9314,0.3327,7.789,5.4677,0.998,13.2018,0.2875,1.4981,0.529,0.6151,7.503,0.5624,107405.0,1.7071,0.3221,0.6306,1.2326,Technology,-0.1471044332432113,-2.210935673998608,-0.9347604990549172,-1.1622429698788483,52.71656842875578,-4.185174939475968,,,
2021-12-31,AASP,0.4429032302671863,,,0.0061565523306948,0.0001,,,3.3949,,-0.0194,,,3.5579,0.3061,0.7847,0.6018,1.5431,,,,,,0.2818,,,,0.0,,-894.2727,,,,,,,1.5639,0.0,0.61,0.0001,Energy,72.82154454314706,,,,6.454320471819603e-05,,,,
2021-12-31,AAT,31.300099280572702,0.1236,1238.9,1.390827517447657,1.5553,0.3373,0.1089,3781.22,0.0381,-2.1256,0.6441,,0.5465,0.571,1.3311,0.5227,1.2185,0.0816,0.2527,3.5907,1.8335,78.3283,27.4169,0.1032,6.0445,1.8687,1.4646,52.5594,0.0095,0.0232,0.01,0.033,1.3346,0.3559,1210.9,1.3311,0.5465,0.571,1.6964,Real Estate,-2.0652173913043472,0.7104692452515431,1.795445018862652,4.411902408573064,0.4142930718031572,0.6095876891210836,,,
2021-12-31,AATC,4.405696753532656,0.6113,19.8,9.144444444444444,13.7556,0.0467,-0.0374,27.2913,0.1357,-0.0019,0.7219,2.9319,0.0747,0.0776,0.0844,-0.302,-0.3284,-0.0625,0.0781,,1.7066,14.756,10.6955,0.0781,2.5522,1.9959,11.7667,4.5175,0.1057,0.1123,0.11,0.1537,0.5981,0.2781,16.93,0.0874,0.0773,0.0804,8.7043,Electrical Equipment,-0.3638489272837611,-0.5434341288388452,-0.8886991362606326,-1.251554090286191,0.0068301315393125,0.1836542818895422,,,
2021-12-31,ABAT,14.397580654390396,,,9.128755364806867,9.5215,-0.0976,-0.0971,,,-0.5406,,,0.0,,,-0.7687,-0.7687,,,,,,,,,,9.1288,,-0.9164,-0.983,-0.9812,-0.6041,0.0,,,0.0,0.0,0.0,12.317,Metals & Mining,2.7436343417638502,3.262446803594459,3.3810943494162724,2.3659483965961283,,-0.1939173967459324,,,
2021-12-31,ABCL,9.468225825217464,0.3144,1025.8,3.944490472245236,7.7034,0.2691,0.1976,3574.48,,0.6569,,,,,,-0.4642,-0.4642,0.43,0.5858,,3.9487,,,0.608,10.7987,4.6166,7.6454,2.0118,0.1286,0.1572,0.157,0.2094,0.4594,,877.4,0.0,0.0,0.0,4.5034,Life Sciences Tools & Services,-8.577847990170262,0.8690263169379829,-4.818673774331637,-20.60383221128949,0.2186204309568304,0.5507009106722603,,,
2021-12-31,ABEV,2.517010708009043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
